family,turn,mean_lfi
Information_Extraction,1,3.548
Information_Extraction,2,5.092
Information_Extraction,3,5.98
Information_Extraction,4,5.2
Information_Extraction,5,5.212
Information_Extraction,6,6.008
Information_Extraction,7,6.216
Persona_Bypass,1,9.104
Persona_Bypass,2,19.156
Persona_Bypass,3,35.472
Persona_Bypass,4,27.224
Persona_Bypass,5,15.612
Persona_Bypass,6,21.324
Persona_Bypass,7,23.576
Structured_Data,1,3.492
Structured_Data,2,4.6
Structured_Data,3,5.192
Structured_Data,4,6.2
Structured_Data,5,8.652
Structured_Data,6,8.62
Structured_Data,7,10.992
Task_Decomposition,1,8.048
Task_Decomposition,2,11.696
Task_Decomposition,3,9.628
Task_Decomposition,4,12.328
Task_Decomposition,5,16.112
Task_Decomposition,6,12.92
Task_Decomposition,7,14.728
